# Obs_ID	RA[deg]			Dec[deg]		filt	exp_time[s]
2200g1303	101.6036224		-8.55951219		g		20
2200r1303	101.6036224		-8.55951219		r		20
2200i1303	101.6036224		-8.55951219		i		20
2230i1303	102.96715443	-11.22927899	i		20
2230r1303	102.96715443	-11.22927899	r		20
2230g1303	102.96715443	-11.22927899	g		20
2260g1303	104.3436205		-13.89892227	g		20
2260r1303	104.3436205		-13.89892227	r		20
2260i1303	104.3436205		-13.89892227	i		20
2290i1303	105.73950697	-16.5668878		i		20
2290r1303	105.73950697	-16.5668878		r		20
2290g1303	105.73950697	-16.5668878		g		20
2320g1303	107.16172785	-19.23154822	g		20
2320r1303	107.16172785	-19.23154822	r		20
2320i1303	107.16172785	-19.23154822	i		20
2350i1303	108.61775582	-21.89117042	i		20
2350r1303	108.61775582	-21.89117042	r		20
2350g1303	108.61775582	-21.89117042	g		20
2380g1303	110.11577334	-24.54387809	g		20
2380r1303	110.11577334	-24.54387809	r		20
2380i1303	110.11577334	-24.54387809	i		20
2410i1303	111.66484927	-27.18760786	i		20
2410r1303	111.66484927	-27.18760786	r		20
2410g1303	111.66484927	-27.18760786	g		20
2440g1303	113.27514763	-29.82005679	g		20
2440r1303	113.27514763	-29.82005679	r		20
2440i1303	113.27514763	-29.82005679	i		20
2470i1303	114.95817616	-32.43861878	i		20
2470r1303	114.95817616	-32.43861878	r		20
2470g1303	114.95817616	-32.43861878	g		20
2500g1303	116.7270839		-35.04030633	g		20
2500r1303	116.7270839		-35.04030633	r		20
2500i1303	116.7270839		-35.04030633	i		20
2501i1303	126.70692823	-29.64794821	i		20
2501r1303	126.70692823	-29.64794821	r		20
2501g1303	126.70692823	-29.64794821	g		20
2471g1303	124.77686845	-27.18805908	g		20
2471r1303	124.77686845	-27.18805908	r		20
2471i1303	124.77686845	-27.18805908	i		20
2441i1303	122.94311091	-24.69542203	i		20
2441r1303	122.94311091	-24.69542203	r		20
2441g1303	122.94311091	-24.69542203	g		20
2411g1303	121.19407331	-22.17410723	g		20
2411r1303	121.19407331	-22.17410723	r		20
2411i1303	121.19407331	-22.17410723	i		20
2381i1303	119.51927126	-19.62768753	i		20
2381r1303	119.51927126	-19.62768753	r		20
2381g1303	119.51927126	-19.62768753	g		20
2351g1303	117.90918254	-17.05931638	g		20
2351r1303	117.90918254	-17.05931638	r		20
2351i1303	117.90918254	-17.05931638	i		20
2321i1303	116.35511714	-14.47179442	i		20
2321r1303	116.35511714	-14.47179442	r		20
2321g1303	116.35511714	-14.47179442	g		20
2291g1303	114.84909508	-11.8676266		g		20
2291r1303	114.84909508	-11.8676266		r		20
2291i1303	114.84909508	-11.8676266		i		20
2261i1303	113.38373271	-9.2490713		i		20
2261r1303	113.38373271	-9.2490713		r		20
2261g1303	113.38373271	-9.2490713		g		20
2231g1303	111.95213711	-6.61818287		g		20
2231r1303	111.95213711	-6.61818287		r		20
2231i1303	111.95213711	-6.61818287		i		20
2201i1303	110.5478075		-3.97684893		i		20
2201r1303	110.5478075		-3.97684893		r		20
2201g1303	110.5478075		-3.97684893		g		20
2201g2303	110.5478075		-3.97684893		g		20
2201r2303	110.5478075		-3.97684893		r		20
2201i2303	110.5478075		-3.97684893		i		20
2231i2303	111.95213711	-6.61818287		i		20
2231r2303	111.95213711	-6.61818287		r		20
2231g2303	111.95213711	-6.61818287		g		20
2261g2303	113.38373271	-9.2490713		g		20
2261r2303	113.38373271	-9.2490713		r		20
2261i2303	113.38373271	-9.2490713		i		20
2291i2303	114.84909508	-11.8676266		i		20
2291r2303	114.84909508	-11.8676266		r		20
2291g2303	114.84909508	-11.8676266		g		20
2321g2303	116.35511714	-14.47179442	g		20
2321r2303	116.35511714	-14.47179442	r		20
2321i2303	116.35511714	-14.47179442	i		20
2351i2303	117.90918254	-17.05931638	i		20
2351r2303	117.90918254	-17.05931638	r		20
2351g2303	117.90918254	-17.05931638	g		20
2381g2303	119.51927126	-19.62768753	g		20
2381r2303	119.51927126	-19.62768753	r		20
2381i2303	119.51927126	-19.62768753	i		20
2411i2303	121.19407331	-22.17410723	i		20
2411r2303	121.19407331	-22.17410723	r		20
2411g2303	121.19407331	-22.17410723	g		20
2441g2303	122.94311091	-24.69542203	g		20
2441r2303	122.94311091	-24.69542203	r		20
2441i2303	122.94311091	-24.69542203	i		20
2471i2303	124.77686845	-27.18805908	i		20
2471r2303	124.77686845	-27.18805908	r		20
2471g2303	124.77686845	-27.18805908	g		20
2501g2303	126.70692823	-29.64794821	g		20
2501r2303	126.70692823	-29.64794821	r		20
2501i2303	126.70692823	-29.64794821	i		20
2500i2303	116.7270839		-35.04030633	i		20
2500r2303	116.7270839		-35.04030633	r		20
2500g2303	116.7270839		-35.04030633	g		20
2470g2303	114.95817616	-32.43861878	g		20
2470r2303	114.95817616	-32.43861878	r		20
2470i2303	114.95817616	-32.43861878	i		20
2440i2303	113.27514763	-29.82005679	i		20
2440r2303	113.27514763	-29.82005679	r		20
2440g2303	113.27514763	-29.82005679	g		20
2410g2303	111.66484927	-27.18760786	g		20
2410r2303	111.66484927	-27.18760786	r		20
2410i2303	111.66484927	-27.18760786	i		20
2380i2303	110.11577334	-24.54387809	i		20
2380r2303	110.11577334	-24.54387809	r		20
2380g2303	110.11577334	-24.54387809	g		20
2350g2303	108.61775582	-21.89117042	g		20
2350r2303	108.61775582	-21.89117042	r		20
2350i2303	108.61775582	-21.89117042	i		20
2320i2303	107.16172785	-19.23154822	i		20
2320r2303	107.16172785	-19.23154822	r		20
2320g2303	107.16172785	-19.23154822	g		20
2290g2303	105.73950697	-16.5668878		g		20
2290r2303	105.73950697	-16.5668878		r		20
2290i2303	105.73950697	-16.5668878		i		20
2260i2303	104.3436205		-13.89892227	i		20
2260r2303	104.3436205		-13.89892227	r		20
2260g2303	104.3436205		-13.89892227	g		20
2230g2303	102.96715443	-11.22927899	g		20
2230r2303	102.96715443	-11.22927899	r		20
2230i2303	102.96715443	-11.22927899	i		20
2200i2303	101.6036224		-8.55951219		i		20
2200r2303	101.6036224		-8.55951219		r		20
2200g2303	101.6036224		-8.55951219		g		20
2200g3303	101.6036224		-8.55951219		g		20
2200r3303	101.6036224		-8.55951219		r		20
2200i3303	101.6036224		-8.55951219		i		20
2230i3303	102.96715443	-11.22927899	i		20
2230r3303	102.96715443	-11.22927899	r		20
2230g3303	102.96715443	-11.22927899	g		20
2260g3303	104.3436205		-13.89892227	g		20
2260r3303	104.3436205		-13.89892227	r		20
2260i3303	104.3436205		-13.89892227	i		20
2290i3303	105.73950697	-16.5668878		i		20
2290r3303	105.73950697	-16.5668878		r		20
2290g3303	105.73950697	-16.5668878		g		20
2320g3303	107.16172785	-19.23154822	g		20
2320r3303	107.16172785	-19.23154822	r		20
2320i3303	107.16172785	-19.23154822	i		20
2350i3303	108.61775582	-21.89117042	i		20
2350r3303	108.61775582	-21.89117042	r		20
2350g3303	108.61775582	-21.89117042	g		20
2380g3303	110.11577334	-24.54387809	g		20
2380r3303	110.11577334	-24.54387809	r		20
2380i3303	110.11577334	-24.54387809	i		20
2410i3303	111.66484927	-27.18760786	i		20
2410r3303	111.66484927	-27.18760786	r		20
2410g3303	111.66484927	-27.18760786	g		20
2440g3303	113.27514763	-29.82005679	g		20
2440r3303	113.27514763	-29.82005679	r		20
2440i3303	113.27514763	-29.82005679	i		20
2470i3303	114.95817616	-32.43861878	i		20
2470r3303	114.95817616	-32.43861878	r		20
2470g3303	114.95817616	-32.43861878	g		20
2500g3303	116.7270839		-35.04030633	g		20
2500r3303	116.7270839		-35.04030633	r		20
2500i3303	116.7270839		-35.04030633	i		20
2501i3303	126.70692823	-29.64794821	i		20
2501r3303	126.70692823	-29.64794821	r		20
2501g3303	126.70692823	-29.64794821	g		20
2471g3303	124.77686845	-27.18805908	g		20
2471r3303	124.77686845	-27.18805908	r		20
2471i3303	124.77686845	-27.18805908	i		20
2441i3303	122.94311091	-24.69542203	i		20
2441r3303	122.94311091	-24.69542203	r		20
2441g3303	122.94311091	-24.69542203	g		20
2411g3303	121.19407331	-22.17410723	g		20
2411r3303	121.19407331	-22.17410723	r		20
2411i3303	121.19407331	-22.17410723	i		20
2381i3303	119.51927126	-19.62768753	i		20
2381r3303	119.51927126	-19.62768753	r		20
2381g3303	119.51927126	-19.62768753	g		20
2351g3303	117.90918254	-17.05931638	g		20
2351r3303	117.90918254	-17.05931638	r		20
2351i3303	117.90918254	-17.05931638	i		20
2321i3303	116.35511714	-14.47179442	i		20
2321r3303	116.35511714	-14.47179442	r		20
2321g3303	116.35511714	-14.47179442	g		20
2291g3303	114.84909508	-11.8676266		g		20
2291r3303	114.84909508	-11.8676266		r		20
2291i3303	114.84909508	-11.8676266		i		20
2261i3303	113.38373271	-9.2490713		i		20
2261r3303	113.38373271	-9.2490713		r		20
2261g3303	113.38373271	-9.2490713		g		20
