# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1310 93.4585000169  7.37689878   g    20
2020r1310 93.4585000169  7.37689878   r    20
2020i1310 93.4585000169  7.37689878   i    20
2050i1310 94.8695419856  4.73838752   i    20
2050r1310 94.8695419856  4.73838752   r    20
2050g1310 94.8695419856  4.73838752   g    20
2080g1310 96.2579744610  2.09069148   g    20
2080r1310 96.2579744610  2.09069148   r    20
2080i1310 96.2579744610  2.09069148   i    20
2110i1310 97.6298391839	 -0.56451246  i    20
2110r1310 97.6298391839	 -0.56451246  r    20
2110g1310 97.6298391839  -0.56451246  g    20
2140g1310 98.9910304922  -3.22563177  g    20
2140r1310 98.9910304922  -3.22563177  r    20
2140i1310 98.9910304922  -3.22563177  i	   20
2170i1310 100.3473810925 -5.8911321	  i    20
2170r1310 100.3473810925 -5.8911321	  r    20
2170g1310 100.3473810925 -5.8911321	  g    20
2200g1310 101.7047487654 -8.55951219  g    20
2200r1310 101.7047487654 -8.55951219  r    20
2200i1310 101.7047487654 -8.55951219  i    20
2230i1310 103.0691062184 -11.22927899 i    20
2230r1310 103.0691062184 -11.22927899 r    20
2230g1310 103.0691062184 -11.22927899 g    20
2260g1310 104.4466367117 -13.89892227 g    20
2260r1310 104.4466367117 -13.89892227 r    20
2260i1310 104.4466367117 -13.89892227 i    20
2290i1310 105.8438380104 -16.5668878  i    20
2290r1310 105.8438380104 -16.5668878  r    20
2290g1310 105.8438380104 -16.5668878  g    20
2320g1310 107.2676381593 -19.23154822 g    20
2320r1310 107.2676381593 -19.23154822 r    20
2320i1310 107.2676381593 -19.23154822 i    20
2321i1310 116.4583940353 -14.47179442 i    20
2321r1310 116.4583940353 -14.47179442 r    20
2321g1310 116.4583940353 -14.47179442 g    20
2291g1310 114.9512792316 -11.8676266  g    20
2291r1310 114.9512792316 -11.8676266  r    20
2291i1310 114.9512792316 -11.8676266  i    20
2261i1310 113.4850499381 -9.2490713   i    20
2261r1310 113.4850499381 -9.2490713   r    20
2261g1310 113.4850499381 -9.2490713   g    20
2231g1310 112.0528079563 -6.61818287  g    20
2231r1310 112.0528079563 -6.61818287  r    20
2231i1310 112.0528079563 -6.61818287  i    20
2201i1310 110.6480488657 -3.97684893  i    20
2201r1310 110.6480488657 -3.97684893  r    20
2201g1310 110.6480488657 -3.97684893  g    20
2171g1310 109.2645692593 -1.32682329  g    20
2171r1310 109.2645692593 -1.32682329  r    20
2171i1310 109.2645692593 -1.32682329  i    20
2141i1310 107.8963781778 1.3302442    i    20
2141r1310 107.8963781778 1.3302442    r    20
2141g1310 107.8963781778 1.3302442    g    20
2111g1310 106.5376108573 3.99278039	  g    20
2111r1310 106.5376108573 3.99278039	  r    20
2111i1310 106.5376108573 3.99278039	  i    20
2081i1310 105.1824431176 6.65926302	  i    20
2081r1310 105.1824431176 6.65926302	  r    20
2081g1310 105.1824431176 6.65926302	  g    20
2051g1310 103.8250041846 9.32819575	  g    20
2051r1310 103.8250041846 9.32819575	  r    20
2051i1310 103.8250041846 9.32819575	  i    20
2021i1310 102.4592856726 11.99808323  i    20
2021r1310 102.4592856726 11.99808323  r    20
2021g1310 102.4592856726 11.99808323  g    20
2021g2310 102.4592856726 11.99808323  g    20
2021r2310 102.4592856726 11.99808323  r    20
2021i2310 102.4592856726 11.99808323  i    20
2051i2310 103.8250041846 9.32819575   i    20
2051r2310 103.8250041846 9.32819575   r    20
2051g2310 103.8250041846 9.32819575   g    20
2081g2310 105.1824431176 6.65926302   g    20
2081r2310 105.1824431176 6.65926302   r    20
2081i2310 105.1824431176 6.65926302   i    20
2111i2310 106.5376108573 3.99278039   i    20
2111r2310 106.5376108573 3.99278039   r    20
2111g2310 106.5376108573 3.99278039   g    20
2141g2310 107.8963781778 1.3302442    g    20
2141r2310 107.8963781778 1.3302442    r    20
2141i2310 107.8963781778 1.3302442    i    20
2171i2310 109.2645692593 -1.32682329  i    20
2171r2310 109.2645692593 -1.32682329  r    20
2171g2310 109.2645692593 -1.32682329  g    20
2201g2310 110.6480488657 -3.97684893  g    20
2201r2310 110.6480488657 -3.97684893  r    20
2201i2310 110.6480488657 -3.97684893  i    20
2231i2310 112.0528079563 -6.61818287  i    20
2231r2310 112.0528079563 -6.61818287  r    20
2231g2310 112.0528079563 -6.61818287  g    20
2261g2310 113.4850499381 -9.2490713   g    20
2261r2310 113.4850499381 -9.2490713   r    20
2261i2310 113.4850499381 -9.2490713   i    20
2291i2310 114.9512792316 -11.8676266  i    20
2291r2310 114.9512792316 -11.8676266  r    20
2291g2310 114.9512792316 -11.8676266  g    20
2321g2310 116.4583940353 -14.47179442 g    20
2321r2310 116.4583940353 -14.47179442 r    20
2321i2310 116.4583940353 -14.47179442 i    20
2320i2310 107.2676381593 -19.23154822 i    20
2320r2310 107.2676381593 -19.23154822 r    20
2320g2310 107.2676381593 -19.23154822 g    20
2290g2310 105.8438380104 -16.5668878  g    20
2290r2310 105.8438380104 -16.5668878  r    20
2290i2310 105.8438380104 -16.5668878  i    20
2260i2310 104.4466367117 -13.89892227 i    20
2260r2310 104.4466367117 -13.89892227 r    20
2260g2310 104.4466367117 -13.89892227 g    20
2230g2310 103.0691062184 -11.22927899 g    20
2230r2310 103.0691062184 -11.22927899 r    20
2230i2310 103.0691062184 -11.22927899 i    20
2200i2310 101.7047487654 -8.55951219  i    20
2200r2310 101.7047487654 -8.55951219  r    20
2200g2310 101.7047487654 -8.55951219  g    20
2170g2310 100.3473810925 -5.8911321   g    20
2170r2310 100.3473810925 -5.8911321   r    20
2170i2310 100.3473810925 -5.8911321   i    20
2140i2310 98.9910304922  -3.22563177  i    20
2140r2310 98.9910304922  -3.22563177  r    20
2140g2310 98.9910304922  -3.22563177  g    20
2110g2310 97.6298391839  -0.56451246  g    20
2110r2310 97.6298391839  -0.56451246  r    20
2110i2310 97.6298391839  -0.56451246  i    20
2080i2310 96.2579744610  2.09069148   i    20
2080r2310 96.2579744610  2.09069148   r    20
2080g2310 96.2579744610  2.09069148   g    20
2050g2310 94.8695419856  4.73838752   g    20
2050r2310 94.8695419856  4.73838752   r    20
2050i2310 94.8695419856  4.73838752   i    20
2020i2310 93.4585000169  7.37689878   i    20
2020r2310 93.4585000169  7.37689878   r    20
2020g2310 93.4585000169  7.37689878   g    20
2020g3310 93.4585000169  7.37689878   g    20
2020r3310 93.4585000169  7.37689878   r    20
2020i3310 93.4585000169  7.37689878   i    20
2050i3310 94.8695419856  4.73838752   i    20
2050r3310 94.8695419856  4.73838752   r    20
2050g3310 94.8695419856  4.73838752   g    20
2080g3310 96.2579744610  2.09069148   g    20
2080r3310 96.2579744610  2.09069148   r    20
2080i3310 96.2579744610  2.09069148   i    20
2110i3310 97.6298391839  -0.56451246  i    20
2110r3310 97.6298391839  -0.56451246  r    20
2110g3310 97.6298391839  -0.56451246  g    20
2140g3310 98.9910304922  -3.22563177  g    20
2140r3310 98.9910304922  -3.22563177  r    20
2140i3310 98.9910304922  -3.22563177  i    20
2170i3310 100.3473810925 -5.8911321   i    20
2170r3310 100.3473810925 -5.8911321   r    20
2170g3310 100.3473810925 -5.8911321   g    20
2200g3310 101.7047487654 -8.55951219  g    20
2200r3310 101.7047487654 -8.55951219  r    20
2200i3310 101.7047487654 -8.55951219  i    20
2230i3310 103.0691062184 -11.22927899 i    20
2230r3310 103.0691062184 -11.22927899 r    20
2230g3310 103.0691062184 -11.22927899 g    20
2260g3310 104.4466367117 -13.89892227 g    20
2260r3310 104.4466367117 -13.89892227 r    20
2260i3310 104.4466367117 -13.89892227 i    20
2290i3310 105.8438380104 -16.5668878  i    20
2290r3310 105.8438380104 -16.5668878  r    20
2290g3310 105.8438380104 -16.5668878  g    20
2320g3310 107.2676381593 -19.23154822 g    20
2320r3310 107.2676381593 -19.23154822 r    20
2320i3310 107.2676381593 -19.23154822 i    20
2321i3310 116.4583940353 -14.47179442 i    20
2321r3310 116.4583940353 -14.47179442 r    20
2321g3310 116.4583940353 -14.47179442 g    20
2291g3310 114.9512792316 -11.8676266  g    20
2291r3310 114.9512792316 -11.8676266  r    20
2291i3310 114.9512792316 -11.8676266  i    20
2261i3310 113.4850499381 -9.2490713   i    20
2261r3310 113.4850499381 -9.2490713   r    20
2261g3310 113.4850499381 -9.2490713   g    20
2231g3310 112.0528079563 -6.61818287  g    20
2231r3310 112.0528079563 -6.61818287  r    20
2231i3310 112.0528079563 -6.61818287  i    20
2201i3310 110.6480488657 -3.97684893  i    20
2201r3310 110.6480488657 -3.97684893  r    20
2201g3310 110.6480488657 -3.97684893  g    20
2171g3310 109.2645692593 -1.32682329  g    20
2171r3310 109.2645692593 -1.32682329  r    20
2171i3310 109.2645692593 -1.32682329  i    20
2141i3310 107.8963781778 1.3302442    i    20
