# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1316 93.35766541    7.37689878     g    20
2020r1316 93.35766541    7.37689878     r    20
2020i1316 93.35766541    7.37689878     i    20
2050i1316 94.76919904    4.73838752     i    20
2050r1316 94.76919904    4.73838752     r    20
2050g1316 94.76919904    4.73838752     g    20
2080g1316 96.15790785    2.09069148     g    20
2080r1316 96.15790785    2.09069148     r    20
2080i1316 96.15790785    2.09069148     i    20
2110i1316 97.52983433    -0.56451246    i    20
2110r1316 97.52983433    -0.56451246    r    20
2110g1316 97.52983433    -0.56451246    g    20
2140g1316 98.89087181    -3.22563177    g    20
2140r1316 98.89087181    -3.22563177    r    20
2140i1316 98.89087181    -3.22563177    i    20
2170i1316 100.24685016   -5.8911321     i    20
2170r1316 100.24685016   -5.8911321     r    20
2170g1316 100.24685016   -5.8911321     g    20
2200g1316 101.6036224    -8.55951219    g    20
2200r1316 101.6036224    -8.55951219    r    20
2200i1316 101.6036224    -8.55951219    i    20
2230i1316 102.96715443   -11.22927899   i    20
2230r1316 102.96715443   -11.22927899   r    20
2230g1316 102.96715443   -11.22927899   g    20
2260g1316 104.3436205    -13.89892227   g    20
2260r1316 104.3436205    -13.89892227   r    20
2260i1316 104.3436205    -13.89892227   i    20
2290i1316 105.73950697   -16.5668878    i    20
2290r1316 105.73950697   -16.5668878    r    20
2290g1316 105.73950697   -16.5668878    g    20
2320g1316 107.16172785   -19.23154822   g    20
2320r1316 107.16172785   -19.23154822   r    20
2320i1316 107.16172785   -19.23154822   i    20
2321i1316 116.35511714   -14.47179442   i    20
2321r1316 116.35511714   -14.47179442   r    20
2321g1316 116.35511714   -14.47179442   g    20
2291g1316 114.84909508   -11.8676266    g    20
2291r1316 114.84909508   -11.8676266    r    20
2291i1316 114.84909508   -11.8676266    i    20
2261i1316 113.38373271   -9.2490713     i    20
2261r1316 113.38373271   -9.2490713     r    20
2261g1316 113.38373271   -9.2490713     g    20
2231g1316 111.95213711   -6.61818287    g    20
2231r1316 111.95213711   -6.61818287    r    20
2231i1316 111.95213711   -6.61818287    i    20
2201i1316 110.5478075    -3.97684893    i    20
2201r1316 110.5478075    -3.97684893    r    20
2201g1316 110.5478075    -3.97684893    g    20
2171g1316 109.16454244   -1.32682329    g    20
2171r1316 109.16454244   -1.32682329    r    20
2171i1316 109.16454244   -1.32682329    i    20
2141i1316 107.79635122   1.3302442      i    20
2141r1316 107.79635122   1.3302442      r    20
2141g1316 107.79635122   1.3302442      g    20
2111g1316 106.43736755   3.99278039     g    20
2111r1316 106.43736755   3.99278039     r    20
2111i1316 106.43736755   3.99278039     i    20
2081i1316 105.08176387   6.65926302     i    20
2081r1316 105.08176387   6.65926302     r    20
2081g1316 105.08176387   6.65926302     g    20
2051g1316 103.72366407   9.32819575     g    20
2051r1316 103.72366407   9.32819575     r    20
2051i1316 103.72366407   9.32819575     i    20
2021i1316 102.35705234   11.99808323    i    20
2021r1316 102.35705234   11.99808323    r    20
2021g1316 102.35705234   11.99808323    g    20
2021g2316 102.35705234   11.99808323    g    20
2021r2316 102.35705234   11.99808323    r    20
2021i2316 102.35705234   11.99808323    i    20
2051i2316 103.72366407   9.32819575     i    20
2051r2316 103.72366407   9.32819575     r    20
2051g2316 103.72366407   9.32819575     g    20
2081g2316 105.08176387   6.65926302     g    20
2081r2316 105.08176387   6.65926302     r    20
2081i2316 105.08176387   6.65926302     i    20
2111i2316 106.43736755   3.99278039     i    20
2111r2316 106.43736755   3.99278039     r    20
2111g2316 106.43736755   3.99278039     g    20
2141g2316 107.79635122   1.3302442      g    20
2141r2316 107.79635122   1.3302442      r    20
2141i2316 107.79635122   1.3302442      i    20
2171i2316 109.16454244   -1.32682329    i    20
2171r2316 109.16454244   -1.32682329    r    20
2171g2316 109.16454244   -1.32682329    g    20
2201g2316 110.5478075    -3.97684893    g    20
2201r2316 110.5478075    -3.97684893    r    20
2201i2316 110.5478075    -3.97684893    i    20
2231i2316 111.95213711   -6.61818287    i    20
2231r2316 111.95213711   -6.61818287    r    20
2231g2316 111.95213711   -6.61818287    g    20
2261g2316 113.38373271   -9.2490713     g    20
2261r2316 113.38373271   -9.2490713     r    20
2261i2316 113.38373271   -9.2490713     i    20
2291i2316 114.84909508   -11.8676266    i    20
2291r2316 114.84909508   -11.8676266    r    20
