# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1313 93.4585000169  7.37689878   g    20
2020r1313 93.4585000169  7.37689878   r    20
2020i1313 93.4585000169  7.37689878   i    20
2050i1313 94.8695419856  4.73838752   i    20
2050r1313 94.8695419856  4.73838752   r    20
2050g1313 94.8695419856  4.73838752   g    20
2080g1313 96.2579744610  2.09069148   g    20
2080r1313 96.2579744610  2.09069148   r    20
2080i1313 96.2579744610  2.09069148   i    20
2110i1313 97.6298391839	 -0.56451246  i    20
2110r1313 97.6298391839	 -0.56451246  r    20
2110g1313 97.6298391839  -0.56451246  g    20
2140g1313 98.9910304922  -3.22563177  g    20
2140r1313 98.9910304922  -3.22563177  r    20
2140i1313 98.9910304922  -3.22563177  i	   20
2170i1313 100.3473810925 -5.8911321	  i    20
2170r1313 100.3473810925 -5.8911321	  r    20
2170g1313 100.3473810925 -5.8911321	  g    20
2200g1313 101.7047487654 -8.55951219  g    20
2200r1313 101.7047487654 -8.55951219  r    20
2200i1313 101.7047487654 -8.55951219  i    20
2230i1313 103.0691062184 -11.22927899 i    20
2230r1313 103.0691062184 -11.22927899 r    20
2230g1313 103.0691062184 -11.22927899 g    20
2260g1313 104.4466367117 -13.89892227 g    20
2260r1313 104.4466367117 -13.89892227 r    20
2260i1313 104.4466367117 -13.89892227 i    20
2290i1313 105.8438380104 -16.5668878  i    20
2290r1313 105.8438380104 -16.5668878  r    20
2290g1313 105.8438380104 -16.5668878  g    20
2320g1313 107.2676381593 -19.23154822 g    20
2320r1313 107.2676381593 -19.23154822 r    20
2320i1313 107.2676381593 -19.23154822 i    20
2321i1313 116.4583940353 -14.47179442 i    20
2321r1313 116.4583940353 -14.47179442 r    20
2321g1313 116.4583940353 -14.47179442 g    20
2291g1313 114.9512792316 -11.8676266  g    20
2291r1313 114.9512792316 -11.8676266  r    20
2291i1313 114.9512792316 -11.8676266  i    20
2261i1313 113.4850499381 -9.2490713   i    20
2261r1313 113.4850499381 -9.2490713   r    20
2261g1313 113.4850499381 -9.2490713   g    20
2231g1313 112.0528079563 -6.61818287  g    20
2231r1313 112.0528079563 -6.61818287  r    20
2231i1313 112.0528079563 -6.61818287  i    20
2201i1313 110.6480488657 -3.97684893  i    20
2201r1313 110.6480488657 -3.97684893  r    20
2201g1313 110.6480488657 -3.97684893  g    20
2171g1313 109.2645692593 -1.32682329  g    20
2171r1313 109.2645692593 -1.32682329  r    20
2171i1313 109.2645692593 -1.32682329  i    20
2141i1313 107.8963781778 1.3302442    i    20
2141r1313 107.8963781778 1.3302442    r    20
2141g1313 107.8963781778 1.3302442    g    20
2111g1313 106.5376108573 3.99278039	  g    20
2111r1313 106.5376108573 3.99278039	  r    20
2111i1313 106.5376108573 3.99278039	  i    20
2081i1313 105.1824431176 6.65926302	  i    20
2081r1313 105.1824431176 6.65926302	  r    20
2081g1313 105.1824431176 6.65926302	  g    20
2051g1313 103.8250041846 9.32819575	  g    20
2051r1313 103.8250041846 9.32819575	  r    20
2051i1313 103.8250041846 9.32819575	  i    20
2021i1313 102.4592856726 11.99808323  i    20
2021r1313 102.4592856726 11.99808323  r    20
2021g1313 102.4592856726 11.99808323  g    20
2021g2313 102.4592856726 11.99808323  g    20
2021r2313 102.4592856726 11.99808323  r    20
2021i2313 102.4592856726 11.99808323  i    20
2051i2313 103.8250041846 9.32819575   i    20
2051r2313 103.8250041846 9.32819575   r    20
2051g2313 103.8250041846 9.32819575   g    20
2081g2313 105.1824431176 6.65926302   g    20
2081r2313 105.1824431176 6.65926302   r    20
2081i2313 105.1824431176 6.65926302   i    20
2111i2313 106.5376108573 3.99278039   i    20
2111r2313 106.5376108573 3.99278039   r    20
2111g2313 106.5376108573 3.99278039   g    20
2141g2313 107.8963781778 1.3302442    g    20
2141r2313 107.8963781778 1.3302442    r    20
2141i2313 107.8963781778 1.3302442    i    20
2171i2313 109.2645692593 -1.32682329  i    20
2171r2313 109.2645692593 -1.32682329  r    20
2171g2313 109.2645692593 -1.32682329  g    20
2201g2313 110.6480488657 -3.97684893  g    20
2201r2313 110.6480488657 -3.97684893  r    20
2201i2313 110.6480488657 -3.97684893  i    20
2231i2313 112.0528079563 -6.61818287  i    20
2231r2313 112.0528079563 -6.61818287  r    20
2231g2313 112.0528079563 -6.61818287  g    20
2261g2313 113.4850499381 -9.2490713   g    20
2261r2313 113.4850499381 -9.2490713   r    20
2261i2313 113.4850499381 -9.2490713   i    20
2291i2313 114.9512792316 -11.8676266  i    20
2291r2313 114.9512792316 -11.8676266  r    20
2291g2313 114.9512792316 -11.8676266  g    20
2321g2313 116.4583940353 -14.47179442 g    20
2321r2313 116.4583940353 -14.47179442 r    20
2321i2313 116.4583940353 -14.47179442 i    20
2320i2313 107.2676381593 -19.23154822 i    20
2320r2313 107.2676381593 -19.23154822 r    20
2320g2313 107.2676381593 -19.23154822 g    20
2290g2313 105.8438380104 -16.5668878  g    20
2290r2313 105.8438380104 -16.5668878  r    20
2290i2313 105.8438380104 -16.5668878  i    20
2260i2313 104.4466367117 -13.89892227 i    20
2260r2313 104.4466367117 -13.89892227 r    20
2260g2313 104.4466367117 -13.89892227 g    20
2230g2313 103.0691062184 -11.22927899 g    20
2230r2313 103.0691062184 -11.22927899 r    20
2230i2313 103.0691062184 -11.22927899 i    20
2200i2313 101.7047487654 -8.55951219  i    20
2200r2313 101.7047487654 -8.55951219  r    20
2200g2313 101.7047487654 -8.55951219  g    20
2170g2313 100.3473810925 -5.8911321   g    20
2170r2313 100.3473810925 -5.8911321   r    20
2170i2313 100.3473810925 -5.8911321   i    20
2140i2313 98.9910304922  -3.22563177  i    20
2140r2313 98.9910304922  -3.22563177  r    20
2140g2313 98.9910304922  -3.22563177  g    20
2110g2313 97.6298391839  -0.56451246  g    20
2110r2313 97.6298391839  -0.56451246  r    20
2110i2313 97.6298391839  -0.56451246  i    20
2080i2313 96.2579744610  2.09069148   i    20
2080r2313 96.2579744610  2.09069148   r    20
2080g2313 96.2579744610  2.09069148   g    20
2050g2313 94.8695419856  4.73838752   g    20
2050r2313 94.8695419856  4.73838752   r    20
2050i2313 94.8695419856  4.73838752   i    20
2020i2313 93.4585000169  7.37689878   i    20
2020r2313 93.4585000169  7.37689878   r    20
2020g2313 93.4585000169  7.37689878   g    20
2020g3313 93.4585000169  7.37689878   g    20
2020r3313 93.4585000169  7.37689878   r    20
2020i3313 93.4585000169  7.37689878   i    20
2050i3313 94.8695419856  4.73838752   i    20
2050r3313 94.8695419856  4.73838752   r    20
2050g3313 94.8695419856  4.73838752   g    20
2080g3313 96.2579744610  2.09069148   g    20
2080r3313 96.2579744610  2.09069148   r    20
2080i3313 96.2579744610  2.09069148   i    20
2110i3313 97.6298391839  -0.56451246  i    20
2110r3313 97.6298391839  -0.56451246  r    20
2110g3313 97.6298391839  -0.56451246  g    20
2140g3313 98.9910304922  -3.22563177  g    20
2140r3313 98.9910304922  -3.22563177  r    20
2140i3313 98.9910304922  -3.22563177  i    20
2170i3313 100.3473810925 -5.8911321   i    20
2170r3313 100.3473810925 -5.8911321   r    20
2170g3313 100.3473810925 -5.8911321   g    20
2200g3313 101.7047487654 -8.55951219  g    20
2200r3313 101.7047487654 -8.55951219  r    20
2200i3313 101.7047487654 -8.55951219  i    20
2230i3313 103.0691062184 -11.22927899 i    20
2230r3313 103.0691062184 -11.22927899 r    20
2230g3313 103.0691062184 -11.22927899 g    20
2260g3313 104.4466367117 -13.89892227 g    20
2260r3313 104.4466367117 -13.89892227 r    20
2260i3313 104.4466367117 -13.89892227 i    20
2290i3313 105.8438380104 -16.5668878  i    20
2290r3313 105.8438380104 -16.5668878  r    20
2290g3313 105.8438380104 -16.5668878  g    20
2320g3313 107.2676381593 -19.23154822 g    20
2320r3313 107.2676381593 -19.23154822 r    20
2320i3313 107.2676381593 -19.23154822 i    20
2321i3313 116.4583940353 -14.47179442 i    20
2321r3313 116.4583940353 -14.47179442 r    20
2321g3313 116.4583940353 -14.47179442 g    20
2291g3313 114.9512792316 -11.8676266  g    20
2291r3313 114.9512792316 -11.8676266  r    20
2291i3313 114.9512792316 -11.8676266  i    20
2261i3313 113.4850499381 -9.2490713   i    20
2261r3313 113.4850499381 -9.2490713   r    20
2261g3313 113.4850499381 -9.2490713   g    20
2231g3313 112.0528079563 -6.61818287  g    20
2231r3313 112.0528079563 -6.61818287  r    20
2231i3313 112.0528079563 -6.61818287  i    20
2201i3313 110.6480488657 -3.97684893  i    20
2201r3313 110.6480488657 -3.97684893  r    20
2201g3313 110.6480488657 -3.97684893  g    20
2171g3313 109.2645692593 -1.32682329  g    20
2171r3313 109.2645692593 -1.32682329  r    20
2171i3313 109.2645692593 -1.32682329  i    20
2141i3313 107.8963781778 1.3302442    i    20
2141r3313 107.8963781778 1.3302442    r    20
2141g3313 107.8963781778 1.3302442    g    20
2111g3313 106.5376108573 3.99278039   g    20
2111r3313 106.5376108573 3.99278039   r    20
2111i3313 106.5376108573 3.99278039   i    20
2081i3313 105.1824431176 6.65926302   i    20
2081r3313 105.1824431176 6.65926302   r    20
2081g3313 105.1824431176 6.65926302   g    20
2051g3313 103.8250041846 9.32819575   g    20
2051r3313 103.8250041846 9.32819575   r    20
2051i3313 103.8250041846 9.32819575   i    20
2021i3313 102.4592856726 11.99808323  i    20
2021r3313 102.4592856726 11.99808323  r    20
2021g3313 102.4592856726 11.99808323  g    20
2021g4313 102.4592856726 11.99808323  g    20
2021r4313 102.4592856726 11.99808323  r    20
2021i4313 102.4592856726 11.99808323  i    20
2051i4313 103.8250041846 9.32819575   i    20
2051r4313 103.8250041846 9.32819575   r    20
2051g4313 103.8250041846 9.32819575   g    20
2081g4313 105.1824431176 6.65926302   g    20
2081r4313 105.1824431176 6.65926302   r    20
2081i4313 105.1824431176 6.65926302   i    20
2111i4313 106.5376108573 3.99278039   i    20
2111r4313 106.5376108573 3.99278039   r    20
2111g4313 106.5376108573 3.99278039   g    20
2141g4313 107.8963781778 1.3302442    g    20
2141r4313 107.8963781778 1.3302442    r    20
2141i4313 107.8963781778 1.3302442    i    20
2171i4313 109.2645692593 -1.32682329  i    20
2171r4313 109.2645692593 -1.32682329  r    20
2171g4313 109.2645692593 -1.32682329  g    20
2201g4313 110.6480488657 -3.97684893  g    20
2201r4313 110.6480488657 -3.97684893  r    20
2201i4313 110.6480488657 -3.97684893  i    20
