# Obs_ID   RA[deg]        Dec[deg]     filt dt[s]
2020g1314 93.35766541    7.37689878     g    20
2020r1314 93.35766541    7.37689878     r    20
2020i1314 93.35766541    7.37689878     i    20
2050i1314 94.76919904    4.73838752     i    20
2050r1314 94.76919904    4.73838752     r    20
2050g1314 94.76919904    4.73838752     g    20
2080g1314 96.15790785    2.09069148     g    20
2080r1314 96.15790785    2.09069148     r    20
2080i1314 96.15790785    2.09069148     i    20
2110i1314 97.52983433    -0.56451246    i    20
2110r1314 97.52983433    -0.56451246    r    20
2110g1314 97.52983433    -0.56451246    g    20
2140g1314 98.89087181    -3.22563177    g    20
2140r1314 98.89087181    -3.22563177    r    20
2140i1314 98.89087181    -3.22563177    i    20
2170i1314 100.24685016   -5.8911321     i    20
2170r1314 100.24685016   -5.8911321     r    20
2170g1314 100.24685016   -5.8911321     g    20
2200g1314 101.6036224    -8.55951219    g    20
2200r1314 101.6036224    -8.55951219    r    20
2200i1314 101.6036224    -8.55951219    i    20
2230i1314 102.96715443   -11.22927899   i    20
2230r1314 102.96715443   -11.22927899   r    20
2230g1314 102.96715443   -11.22927899   g    20
2260g1314 104.3436205    -13.89892227   g    20
2260r1314 104.3436205    -13.89892227   r    20
2260i1314 104.3436205    -13.89892227   i    20
2290i1314 105.73950697   -16.5668878    i    20
2290r1314 105.73950697   -16.5668878    r    20
2290g1314 105.73950697   -16.5668878    g    20
2320g1314 107.16172785   -19.23154822   g    20
2320r1314 107.16172785   -19.23154822   r    20
2320i1314 107.16172785   -19.23154822   i    20
2321i1314 116.35511714   -14.47179442   i    20
2321r1314 116.35511714   -14.47179442   r    20
2321g1314 116.35511714   -14.47179442   g    20
2291g1314 114.84909508   -11.8676266    g    20
2291r1314 114.84909508   -11.8676266    r    20
2291i1314 114.84909508   -11.8676266    i    20
2261i1314 113.38373271   -9.2490713     i    20
2261r1314 113.38373271   -9.2490713     r    20
2261g1314 113.38373271   -9.2490713     g    20
2231g1314 111.95213711   -6.61818287    g    20
2231r1314 111.95213711   -6.61818287    r    20
2231i1314 111.95213711   -6.61818287    i    20
2201i1314 110.5478075    -3.97684893    i    20
2201r1314 110.5478075    -3.97684893    r    20
2201g1314 110.5478075    -3.97684893    g    20
2171g1314 109.16454244   -1.32682329    g    20
2171r1314 109.16454244   -1.32682329    r    20
2171i1314 109.16454244   -1.32682329    i    20
2141i1314 107.79635122   1.3302442      i    20
2141r1314 107.79635122   1.3302442      r    20
2141g1314 107.79635122   1.3302442      g    20
2111g1314 106.43736755   3.99278039     g    20
2111r1314 106.43736755   3.99278039     r    20
2111i1314 106.43736755   3.99278039     i    20
2081i1314 105.08176387   6.65926302     i    20
2081r1314 105.08176387   6.65926302     r    20
2081g1314 105.08176387   6.65926302     g    20
2051g1314 103.72366407   9.32819575     g    20
2051r1314 103.72366407   9.32819575     r    20
2051i1314 103.72366407   9.32819575     i    20
2021i1314 102.35705234   11.99808323    i    20
2021r1314 102.35705234   11.99808323    r    20
2021g1314 102.35705234   11.99808323    g    20
2021g2314 102.35705234   11.99808323    g    20
2021r2314 102.35705234   11.99808323    r    20
2021i2314 102.35705234   11.99808323    i    20
2051i2314 103.72366407   9.32819575     i    20
2051r2314 103.72366407   9.32819575     r    20
2051g2314 103.72366407   9.32819575     g    20
2081g2314 105.08176387   6.65926302     g    20
2081r2314 105.08176387   6.65926302     r    20
2081i2314 105.08176387   6.65926302     i    20
2111i2314 106.43736755   3.99278039     i    20
2111r2314 106.43736755   3.99278039     r    20
2111g2314 106.43736755   3.99278039     g    20
2141g2314 107.79635122   1.3302442      g    20
2141r2314 107.79635122   1.3302442      r    20
2141i2314 107.79635122   1.3302442      i    20
2171i2314 109.16454244   -1.32682329    i    20
2171r2314 109.16454244   -1.32682329    r    20
2171g2314 109.16454244   -1.32682329    g    20
2201g2314 110.5478075    -3.97684893    g    20
2201r2314 110.5478075    -3.97684893    r    20
2201i2314 110.5478075    -3.97684893    i    20
2231i2314 111.95213711   -6.61818287    i    20
2231r2314 111.95213711   -6.61818287    r    20
2231g2314 111.95213711   -6.61818287    g    20
2261g2314 113.38373271   -9.2490713     g    20
2261r2314 113.38373271   -9.2490713     r    20
2261i2314 113.38373271   -9.2490713     i    20
2291i2314 114.84909508   -11.8676266    i    20
2291r2314 114.84909508   -11.8676266    r    20
2291g2314 114.84909508   -11.8676266    g    20
2321g2314 116.35511714   -14.47179442   g    20
2321r2314 116.35511714   -14.47179442   r    20
2321i2314 116.35511714   -14.47179442   i    20
2320i2314 107.16172785   -19.23154822   i    20
2320r2314 107.16172785   -19.23154822   r    20
2320g2314 107.16172785   -19.23154822   g    20
2290g2314 105.73950697   -16.5668878    g    20
2290r2314 105.73950697   -16.5668878    r    20
2290i2314 105.73950697   -16.5668878    i    20
2260i2314 104.3436205    -13.89892227   i    20
2260r2314 104.3436205    -13.89892227   r    20
2260g2314 104.3436205    -13.89892227   g    20
2230g2314 102.96715443   -11.22927899   g    20
2230r2314 102.96715443   -11.22927899   r    20
2230i2314 102.96715443   -11.22927899   i    20
2200i2314 101.6036224    -8.55951219    i    20
2200r2314 101.6036224    -8.55951219    r    20
2200g2314 101.6036224    -8.55951219    g    20
2170g2314 100.24685016   -5.8911321     g    20
2170r2314 100.24685016   -5.8911321     r    20
2170i2314 100.24685016   -5.8911321     i    20
2140i2314 98.89087181    -3.22563177    i    20
2140r2314 98.89087181    -3.22563177    r    20
2140g2314 98.89087181    -3.22563177    g    20
2110g2314 97.52983433    -0.56451246    g    20
2110r2314 97.52983433    -0.56451246    r    20
2110i2314 97.52983433    -0.56451246    i    20
2080i2314 96.15790785    2.09069148     i    20
2080r2314 96.15790785    2.09069148     r    20
2080g2314 96.15790785    2.09069148     g    20
2050g2314 94.76919904    4.73838752     g    20
2050r2314 94.76919904    4.73838752     r    20
2050i2314 94.76919904    4.73838752     i    20
2020i2314 93.35766541    7.37689878     i    20
2020r2314 93.35766541    7.37689878     r    20
2020g2314 93.35766541    7.37689878     g    20
2020g3314 93.35766541    7.37689878     g    20
2020r3314 93.35766541    7.37689878     r    20
2020i3314 93.35766541    7.37689878     i    20
2050i3314 94.76919904    4.73838752     i    20
2050r3314 94.76919904    4.73838752     r    20
2050g3314 94.76919904    4.73838752     g    20
2080g3314 96.15790785    2.09069148     g    20
2080r3314 96.15790785    2.09069148     r    20
2080i3314 96.15790785    2.09069148     i    20
2110i3314 97.52983433    -0.56451246    i    20
2110r3314 97.52983433    -0.56451246    r    20
2110g3314 97.52983433    -0.56451246    g    20
2140g3314 98.89087181    -3.22563177    g    20
2140r3314 98.89087181    -3.22563177    r    20
2140i3314 98.89087181    -3.22563177    i    20
2170i3314 100.24685016   -5.8911321     i    20
2170r3314 100.24685016   -5.8911321     r    20
2170g3314 100.24685016   -5.8911321     g    20
2200g3314 101.6036224    -8.55951219    g    20
2200r3314 101.6036224    -8.55951219    r    20
2200i3314 101.6036224    -8.55951219    i    20
2230i3314 102.96715443   -11.22927899   i    20
2230r3314 102.96715443   -11.22927899   r    20
2230g3314 102.96715443   -11.22927899   g    20
2260g3314 104.3436205    -13.89892227   g    20
2260r3314 104.3436205    -13.89892227   r    20
2260i3314 104.3436205    -13.89892227   i    20
2290i3314 105.73950697   -16.5668878    i    20
2290r3314 105.73950697   -16.5668878    r    20
2290g3314 105.73950697   -16.5668878    g    20
2320g3314 107.16172785   -19.23154822   g    20
2320r3314 107.16172785   -19.23154822   r    20
2320i3314 107.16172785   -19.23154822   i    20
2321i3314 116.35511714   -14.47179442   i    20
2321r3314 116.35511714   -14.47179442   r    20
2321g3314 116.35511714   -14.47179442   g    20
2291g3314 114.84909508   -11.8676266    g    20
2291r3314 114.84909508   -11.8676266    r    20
2291i3314 114.84909508   -11.8676266    i    20
2261i3314 113.38373271   -9.2490713     i    20
2261r3314 113.38373271   -9.2490713     r    20
2261g3314 113.38373271   -9.2490713     g    20
2231g3314 111.95213711   -6.61818287    g    20
2231r3314 111.95213711   -6.61818287    r    20
2231i3314 111.95213711   -6.61818287    i    20
2201i3314 110.5478075    -3.97684893    i    20
2201r3314 110.5478075    -3.97684893    r    20
2201g3314 110.5478075    -3.97684893    g    20
2171g3314 109.16454244   -1.32682329    g    20
2171r3314 109.16454244   -1.32682329    r    20
2171i3314 109.16454244   -1.32682329    i    20
2141i3314 107.79635122   1.3302442      i    20
2141r3314 107.79635122   1.3302442      r    20
2141g3314 107.79635122   1.3302442      g    20
2111g3314 106.43736755   3.99278039     g    20
2111r3314 106.43736755   3.99278039     r    20
2111i3314 106.43736755   3.99278039     i    20
2081i3314 105.08176387   6.65926302     i    20
2081r3314 105.08176387   6.65926302     r    20
2081g3314 105.08176387   6.65926302     g    20
2051g3314 103.72366407   9.32819575     g    20
2051r3314 103.72366407   9.32819575     r    20
2051i3314 103.72366407   9.32819575     i    20
2021i3314 102.35705234   11.99808323    i    20
2021r3314 102.35705234   11.99808323    r    20
2021g3314 102.35705234   11.99808323    g    20
2021g4314 102.35705234   11.99808323    g    20
2021r4314 102.35705234   11.99808323    r    20
2021i4314 102.35705234   11.99808323    i    20
2051i4314 103.72366407   9.32819575     i    20
2051r4314 103.72366407   9.32819575     r    20
2051g4314 103.72366407   9.32819575     g    20
2081g4314 105.08176387   6.65926302     g    20
2081r4314 105.08176387   6.65926302     r    20
2081i4314 105.08176387   6.65926302     i    20
2111i4314 106.43736755   3.99278039     i    20
2111r4314 106.43736755   3.99278039     r    20
2111g4314 106.43736755   3.99278039     g    20
2141g4314 107.79635122   1.3302442      g    20
2141r4314 107.79635122   1.3302442      r    20
2141i4314 107.79635122   1.3302442      i    20
2171i4314 109.16454244   -1.32682329    i    20
2171r4314 109.16454244   -1.32682329    r    20
2171g4314 109.16454244   -1.32682329    g    20
2201g4314 110.5478075    -3.97684893    g    20
2201r4314 110.5478075    -3.97684893    r    20
2201i4314 110.5478075    -3.97684893    i    20
2231i4314 111.95213711   -6.61818287    i    20
2231r4314 111.95213711   -6.61818287    r    20
2231g4314 111.95213711   -6.61818287    g    20
2261g4314 113.38373271   -9.2490713     g    20
2261r4314 113.38373271   -9.2490713     r    20
2261i4314 113.38373271   -9.2490713     i    20
2291i4314 114.84909508   -11.8676266    i    20
2291r4314 114.84909508   -11.8676266    r    20
2291g4314 114.84909508   -11.8676266    g    20
2321g4314 116.35511714   -14.47179442   g    20
2321r4314 116.35511714   -14.47179442   r    20
2321i4314 116.35511714   -14.47179442   i    20
2320i4314 107.16172785   -19.23154822   i    20
2320r4314 107.16172785   -19.23154822   r    20
2320g4314 107.16172785   -19.23154822   g    20
2290g4314 105.73950697   -16.5668878    g    20
2290r4314 105.73950697   -16.5668878    r    20
2290i4314 105.73950697   -16.5668878    i    20
2260i4314 104.3436205    -13.89892227   i    20
2260r4314 104.3436205    -13.89892227   r    20
2260g4314 104.3436205    -13.89892227   g    20
2230g4314 102.96715443   -11.22927899   g    20
2230r4314 102.96715443   -11.22927899   r    20
2230i4314 102.96715443   -11.22927899   i    20
2200i4314 101.6036224    -8.55951219    i    20
2200r4314 101.6036224    -8.55951219    r    20
2200g4314 101.6036224    -8.55951219    g    20
2170g4314 100.24685016   -5.8911321     g    20
2170r4314 100.24685016   -5.8911321     r    20
2170i4314 100.24685016   -5.8911321     i    20
2140i4314 98.89087181    -3.22563177    i    20
2140r4314 98.89087181    -3.22563177    r    20
2140g4314 98.89087181    -3.22563177    g    20
2110g4314 97.52983433    -0.56451246    g    20
2110r4314 97.52983433    -0.56451246    r    20
2110i4314 97.52983433    -0.56451246    i    20
2080i4314 96.15790785    2.09069148     i    20
2080r4314 96.15790785    2.09069148     r    20
2080g4314 96.15790785    2.09069148     g    20
2050g4314 94.76919904    4.73838752     g    20
2050r4314 94.76919904    4.73838752     r    20
2050i4314 94.76919904    4.73838752     i    20
2020i4314 93.35766541    7.37689878     i    20
2020r4314 93.35766541    7.37689878     r    20
2020g4314 93.35766541    7.37689878     g    20
2020g5314 93.35766541    7.37689878     g    20
2020r5314 93.35766541    7.37689878     r    20
2020i5314 93.35766541    7.37689878     i    20
2050i5314 94.76919904    4.73838752     i    20
2050r5314 94.76919904    4.73838752     r    20
2050g5314 94.76919904    4.73838752     g    20
2080g5314 96.15790785    2.09069148     g    20
2080r5314 96.15790785    2.09069148     r    20
2080i5314 96.15790785    2.09069148     i    20
2110i5314 97.52983433    -0.56451246    i    20
2110r5314 97.52983433    -0.56451246    r    20
2110g5314 97.52983433    -0.56451246    g    20
2140g5314 98.89087181    -3.22563177    g    20
2140r5314 98.89087181    -3.22563177    r    20
2140i5314 98.89087181    -3.22563177    i    20
2170i5314 100.24685016   -5.8911321     i    20
2170r5314 100.24685016   -5.8911321     r    20
2170g5314 100.24685016   -5.8911321     g    20
2200g5314 101.6036224    -8.55951219    g    20
2200r5314 101.6036224    -8.55951219    r    20
2200i5314 101.6036224    -8.55951219    i    20
2230i5314 102.96715443   -11.22927899   i    20
2230r5314 102.96715443   -11.22927899   r    20
2230g5314 102.96715443   -11.22927899   g    20
2260g5314 104.3436205    -13.89892227   g    20
2260r5314 104.3436205    -13.89892227   r    20
2260i5314 104.3436205    -13.89892227   i    20
2290i5314 105.73950697   -16.5668878    i    20
2290r5314 105.73950697   -16.5668878    r    20
2290g5314 105.73950697   -16.5668878    g    20
2320g5314 107.16172785   -19.23154822   g    20
2320r5314 107.16172785   -19.23154822   r    20
2320i5314 107.16172785   -19.23154822   i    20
2321i5314 116.35511714   -14.47179442   i    20
2321r5314 116.35511714   -14.47179442   r    20
